# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Oct 17 11:53:32 AEDT 2023 [seed=1697504010960]
# -overwrite June_baits_allnodesSC.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(psuedocowpox)	age(psuedocowpox)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1154710.713357295	-216.18951683859768	-1154494.5238404563	0.8357614159589594	0.8357614159589594	18.88041583191792	0.684488	0.684488	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-1154494.5238404563	0.0	-211.711358415959
1000	-845474.3356859231	-27.239860000712447	-845447.0958259224	1.2669734013658203	1.2669734013658203	5.356474524113515	0.009588909731190599	0.009588909731190599	1.4767083446611904	0.9945871506016642	1.020873565179406	0.9956694728349117	0.9934001323357547	1.0019130465396113	0.9935566325086523	0.24301642879613555	1.0	1.0	-845447.0958259224	0.0	-22.885853201115335
2000	-816999.8279904568	2.3005824885336454	-817002.1285729454	0.34385756340126433	0.34385756340126433	1.4657823802045438	0.002226635415707911	0.002226635415707911	0.5876420393345638	0.9925459818601693	1.020773603267985	0.9956694728349117	0.9935000942471758	1.0039542152811063	0.9935566325086523	0.4000866806508964	1.0	1.0	-817002.1285729454	0.0	6.047276979368972
3000	-816475.8179863866	15.82828415496973	-816491.6462705416	0.3407435329087456	0.3407435329087456	1.4748747895009533	0.002179880315328244	0.002179880315328244	0.19309699711696074	0.9909002103395	1.0128773875847321	0.9952053131643844	0.9935000942471758	1.0156090032933238	0.9919079913708843	0.4000866806508964	1.0	1.0	-816491.6462705416	0.0	18.462053298319614
4000	-815669.0734907915	16.14679265013462	-815685.2202834416	0.3420839129459308	0.3420839129459308	1.4812587248174185	1.3688409414712038E-5	1.3688409414712038E-5	0.18623779717144548	0.9909002103395	1.0165457189697322	0.9881800928388896	0.9967767994709674	1.0189658922338185	0.9886312861470926	0.4000866806508964	1.0	1.0	-815685.2202834416	0.0	18.74439349166362
5000	-815414.2326703807	15.913877289510587	-815430.1465476702	0.3464216864194227	0.3464216864194227	1.5007230262314013	1.3468831364936678E-5	1.3468831364936678E-5	0.14947267484348292	0.982336629216704	1.02597785954263	0.9846200309587663	0.9903628366275948	1.028071357507213	0.9886312861470926	0.4000866806508964	1.0	1.0	-815430.1465476702	0.0	18.29156739362725
6000	-815299.9531466649	16.711978342284358	-815316.6651250072	0.336545799405669	0.336545799405669	1.451271967134335	1.3074886063055864E-5	1.3074886063055864E-5	0.19739803483800514	0.9834824474724368	1.0258137288343174	0.9909174899974407	0.9784816181803854	1.0403865250992677	0.9809181904161527	0.4000866806508964	1.0	1.0	-815316.6651250072	0.0	19.367777018964585
7000	-815167.569706297	16.745199764070417	-815184.314906061	0.341629748953717	0.341629748953717	1.469750307416964	1.319891535614206E-5	1.319891535614206E-5	0.15969786223644875	0.9851273339196545	1.0259243554884838	0.9949771215775339	0.979277279488028	1.0403865250992677	0.9743073844270329	0.4010121260865577	1.0	1.0	-815184.314906061	0.0	19.190910828910276
8000	-814957.064851563	15.770668190067612	-814972.835519753	0.340657667314856	0.340657667314856	1.4676819157872356	1.3188572942940356E-5	1.3188572942940356E-5	0.13022700533595022	0.9823213012665486	1.0360950623160183	0.9929037547173775	0.9739859721737559	1.0468678889806495	0.967826020545651	0.4010121260865577	1.0	1.0	-814972.835519753	0.0	18.01237470841899
9000	-814921.4078886574	16.445973040429557	-814937.8538616978	0.33871636390453763	0.33871636390453763	1.4710517252194952	1.3251101477343124E-5	1.3251101477343124E-5	0.19629394976328968	0.9823213012665486	1.0360950623160183	0.9952265976565035	0.9739859721737559	1.0468678889806495	0.965503177606525	0.4010121260865577	1.0	1.0	-814937.8538616978	0.0	19.09801371568758
10000	-814809.273593482	16.22100126144985	-814825.4945947435	0.34876340000771305	0.34876340000771305	1.5040884300980162	1.3460374711253344E-5	1.3460374711253344E-5	0.1656172652739284	0.9748681895431018	1.0397145526830287	0.9917181790989112	0.9827333681902679	1.0506335694191384	0.9603321410655529	0.4010121260865577	1.0	1.0	-814825.4945947435	0.0	18.703108152696622
11000	-814718.0235198557	14.348656130385555	-814732.3721759861	0.3461527112747829	0.3461527112747829	1.4952713576555834	1.3460374711253344E-5	1.3460374711253344E-5	0.2575541289612411	0.9800530828242715	1.041685734149789	0.9918326080158786	0.9827333681902679	1.057106339008221	0.946588867811573	0.4010121260865577	1.0	1.0	-814732.3721759861	0.0	17.27231343378629
12000	-814614.7989359514	16.371249004541017	-814631.1701849559	0.34227679749389023	0.34227679749389023	1.4815388356459263	1.3305323986975186E-5	1.3305323986975186E-5	0.1928236034679637	0.9586831380289972	1.0508168137633997	0.9973204642018053	0.9791896592195494	1.057106339008221	0.9568835857780283	0.4010121260865577	1.0	1.0	-814631.1701849559	0.0	19.005452199680207
13000	-814366.2199181542	15.691049786457903	-814381.9109679406	0.3433848330203121	0.3433848330203121	1.4859626056511568	1.3339789107022739E-5	1.3339789107022739E-5	0.2209082221050589	0.9482247864595862	1.0542852394162234	0.9983019644766149	0.9791896592195494	1.0657392743658376	0.9542590760621894	0.4010121260865577	1.0	1.0	-814381.9109679406	0.0	18.461224512958296
